institution_key,institution,type,in_target,contacts,research,· Senior,· Operational,· Academic,finance,it_systems,unclassified,personas_held,valid_emails,missing_personas
wjec cbac,WJEC / CBAC,Unclassified,No,7,7,1,6,0,0,0,0,1,7,Finance  IT/Systems
activate learning,Activate Learning,Unclassified,No,6,0,0,0,0,5,1,0,2,4,Research  
arden university,Arden University,University,Yes,6,4,0,3,1,0,2,0,2,0,Finance  
brighton and sussex medical school,Brighton and Sussex Medical School,University,Yes,6,5,2,3,0,1,0,0,2,5,IT/Systems
brighton university,University of Brighton,University,Yes,6,4,2,2,0,1,1,0,3,6,
buckinghamshire new university,Buckinghamshire New University,University,Yes,6,4,4,0,0,0,2,0,2,4,Finance  
courtauld institute of art,The Courtauld Institute of Art,University,Yes,6,2,1,1,0,2,1,0,3,1,
glasgow school of art,The Glasgow School of Art,University,Yes,6,3,2,1,0,2,1,0,3,5,
james hutton institute,The James Hutton Institute,Research institute,Yes,6,3,1,2,0,2,1,0,3,4,
norwich university of the arts,Norwich University of the Arts,University,Yes,6,5,3,2,0,1,0,0,2,6,IT/Systems
oxford nanopore technologies,Oxford Nanopore Technologies,Company,No,6,6,4,0,1,0,0,0,1,6,Finance  IT/Systems
ravensbourne university london,Ravensbourne University London,University,Yes,6,2,2,0,0,3,1,0,3,6,
roehampton university,University Of Roehampton,University,Yes,6,2,0,1,1,3,1,0,3,2,
royal agricultural university,Royal Agricultural University,University,Yes,6,4,2,2,0,1,1,0,3,4,
royal central school of speech and drama,The Royal Central School Of Speech And Drama,University,Yes,6,2,2,0,0,3,1,0,3,5,
trl limited,TRL Limited,Company,No,6,0,0,0,0,4,0,0,1,6,Research  IT/Systems
wrexham university,Wrexham University,University,Yes,6,2,2,0,0,2,1,1,3,4,
brac university,BRAC University,University,Yes,5,3,3,0,0,1,1,0,3,5,
british antarctic survey,British Antarctic Survey,Research institute,Yes,5,3,1,2,0,0,0,2,1,4,Finance  IT/Systems
buckingham university,University of Buckingham,University,Yes,5,2,2,0,0,2,1,0,3,5,
chichester university,University of Chichester,University,Yes,5,1,0,0,1,3,1,0,3,5,
earlham institute,Earlham Institute,Research institute,Yes,5,2,2,0,0,0,1,1,2,5,Finance  
leverhulme trust,The Leverhulme Trust,Charity / membership body,No,5,4,0,3,1,1,0,0,2,5,IT/Systems
london school of hygiene and tropical medicine,London School of Hygiene & Tropical Medicine,University,Yes,5,2,1,1,0,3,0,0,2,5,IT/Systems
london university,University of London,University,Yes,5,0,0,0,0,2,3,0,2,0,Research  
rsacademics,RSAcademics,Unclassified,No,5,3,1,2,0,2,0,0,2,5,IT/Systems
arts university bournemouth,Arts University Bournemouth,University,Yes,4,2,1,1,0,1,1,0,3,4,
cambridge university press and assessment,Cambridge University Press & Assessment,Unclassified,No,4,4,2,2,0,0,0,0,1,0,Finance  IT/Systems
charles river laboratories,Charles River Laboratories,Company,No,4,4,3,1,0,0,0,0,1,4,Finance  IT/Systems
chartered association of business schools,Chartered Association Of Business Schools,Charity / membership body,No,4,2,1,1,0,2,0,0,2,4,IT/Systems
guildhall school of music and drama,Guildhall School of Music & Drama,University,Yes,4,3,2,0,1,0,1,0,2,4,Finance  
health sciences university,Health Sciences University,University,Yes,4,2,1,1,0,1,1,0,3,4,
into university partnerships,INTO University Partnerships,University,Yes,4,1,0,1,0,3,0,0,2,4,IT/Systems
law university,The University of Law,University,Yes,4,2,0,2,0,0,2,0,2,0,Finance  
leeds arts university,Leeds Arts University,University,Yes,4,1,1,0,0,2,1,0,3,4,
royal northern college of music,Royal Northern College of Music,University college,Yes,4,1,1,0,0,3,0,0,2,4,IT/Systems
salesforce,Salesforce,Company,No,4,0,0,0,0,0,0,3,0,4,Research  Finance  IT/Systems
suffolk university,University of Suffolk,University,Yes,4,4,2,1,1,0,0,0,1,3,Finance  IT/Systems
taso,TASO,Unclassified,Yes,4,4,0,4,0,0,0,0,1,2,Finance  IT/Systems
winchester university,University of Winchester,University,Yes,4,4,4,0,0,0,0,0,1,4,Finance  IT/Systems
wolverhampton university,University of Wolverhampton,University,Yes,4,3,2,1,0,0,1,0,2,0,Finance  
youth sport trust,Youth Sport Trust,Charity / membership body,No,4,4,1,3,0,0,0,0,1,4,Finance  IT/Systems
acer trust,Acer Trust,Charity / membership body,No,3,0,0,0,0,3,0,0,1,2,Research  IT/Systems
bayes business school,Bayes Business School,University,Yes,3,3,1,1,1,0,0,0,1,0,Finance  IT/Systems
boston college,Boston College,Unclassified,No,3,0,0,0,0,2,1,0,2,3,Research  
bright horizons uk,Bright Horizons UK,Unclassified,No,3,3,2,1,0,0,0,0,1,3,Finance  IT/Systems
brilliant club,The Brilliant Club,Unclassified,No,3,2,0,2,0,1,0,0,2,1,IT/Systems
broadleaf partnership trust,Broadleaf Partnership Trust,Charity / membership body,No,3,0,0,0,0,2,1,0,2,3,Research  
cilex,CILEX,Unclassified,No,3,0,0,0,0,3,0,0,1,2,Research  IT/Systems
department for science innovation and technology,"Department for Science, Innovation and Technology (DSIT)",Government / public body,No,3,1,1,0,0,0,1,0,2,3,Finance  
gartner inc,Gartner Inc.,Company,No,3,3,3,0,0,0,0,0,1,0,Finance  IT/Systems
guildhe,GuildHE,Research institute,Yes,3,1,1,0,0,1,0,1,2,3,IT/Systems
hisp multi academy trust,HISP Multi-Academy Trust,School / academy trust,No,3,0,0,0,0,3,0,0,1,2,Research  IT/Systems
icas,ICAS,Unclassified,No,3,1,1,0,0,1,1,0,3,2,
illumina inc,Illumina Inc.,Company,No,3,3,3,0,0,0,0,0,1,0,Finance  IT/Systems
ioe ucl s faculty of education and society,IOE - UCL's Faculty Of Education And Society,University,Yes,3,3,0,3,0,0,0,0,1,3,Finance  IT/Systems
kpmg,KPMG,Company,No,3,0,0,0,0,0,0,3,0,3,Research  Finance  IT/Systems
learning partners academy trust,Learning Partners Academy Trust,School / academy trust,No,3,0,0,0,0,3,0,0,1,2,Research  IT/Systems
liverpool hope university,Liverpool Hope University,University,Yes,5,4,2,0,1,0,1,0,2,3,Finance  
medical research council,Medical Research Council,Research institute,Yes,3,2,0,2,0,1,0,0,2,2,IT/Systems
metanoia institute,Metanoia Institute,Research institute,Yes,3,0,0,0,0,3,0,0,1,3,Research  IT/Systems
natcen social research,NatCen Social Research,Research institute,Yes,3,3,2,0,1,0,0,0,1,3,Finance  IT/Systems
office for students,Office for Students,Unclassified,No,3,0,0,0,0,2,0,1,1,2,Research  IT/Systems
oxed and assessment,OxEd And Assessment,Unclassified,No,3,3,0,3,0,0,0,0,1,3,Finance  IT/Systems
paul mellon centre for studies in british art,Paul Mellon Centre For Studies In British Art,Research institute,Yes,3,2,0,2,0,1,0,0,2,3,IT/Systems
plymouth marine laboratory,Plymouth Marine Laboratory (PML),Research institute,Yes,3,3,1,2,0,0,0,0,1,3,Finance  IT/Systems
prokarium,Prokarium,Unclassified,No,3,2,2,0,0,1,0,0,2,3,IT/Systems
pwc,PwC,Company,No,3,0,0,0,0,0,0,3,0,3,Research  Finance  IT/Systems
qs quacquarelli symonds,QS Quacquarelli Symonds,Company,No,3,1,0,1,0,1,1,0,3,3,
regent s university london,Regent's University London,University,Yes,3,0,0,0,0,1,2,0,2,0,Research  
shakespeare martineau,Shakespeare Martineau,Unclassified,No,3,0,0,0,0,0,0,3,0,3,Research  Finance  IT/Systems
uk centre for ecology and hydrology,UK Centre for Ecology & Hydrology (UKCEH),Research institute,Yes,3,3,2,1,0,0,0,0,1,3,Finance  IT/Systems
universities scotland,Universities Scotland,University,Yes,3,2,0,1,1,0,0,1,1,3,Finance  IT/Systems
upp,UPP,Unclassified,No,3,1,1,0,0,1,1,0,3,0,
wood mackenzie,Wood Mackenzie,Company,No,3,3,3,0,0,0,0,0,1,3,Finance  IT/Systems
adaptimmune,Adaptimmune,Unclassified,No,2,2,2,0,0,0,0,0,1,0,Finance  IT/Systems
advance he,Advance HE,Research institute,Yes,2,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
all nations christian college,All Nations Christian College,Unclassified,Yes,2,1,1,0,0,1,0,0,2,2,IT/Systems
alliance manchester business school,Alliance Manchester Business School,University,Yes,2,2,2,0,0,0,0,0,1,0,Finance  IT/Systems
altus education partnership,Altus Education Partnership,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
ashbourne day nurseries,Ashbourne Day Nurseries,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
askham bryan college,Askham Bryan College,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
better futures multi academy trust,Better Futures Multi-Academy Trust,School / academy trust,No,2,0,0,0,0,1,1,0,2,2,Research  
blackpool and the fylde college,Blackpool And The Fylde College,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
brentwood school uk,Brentwood School UK,School / academy trust,No,2,2,2,0,0,0,0,0,1,0,Finance  IT/Systems
cambridge judge business school,Cambridge Judge Business School,University,Yes,2,2,1,1,0,0,0,0,1,2,Finance  IT/Systems
cardiff business school,Cardiff Business School,University,Yes,2,2,1,1,0,0,0,0,1,0,Finance  IT/Systems
career connect,Career Connect,Unclassified,No,2,1,1,0,0,1,0,0,2,1,IT/Systems
carnegie trust for the universities of scotland,Carnegie Trust For The Universities Of Scotland,University,Yes,2,1,0,1,0,1,0,0,2,2,IT/Systems
colchester institute,Colchester Institute,Research institute,Yes,2,0,0,0,0,1,1,0,2,1,Research  
committee of university chairs,Committee of University Chairs,University,Yes,2,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
department of alc,Department Of ALC,Government / public body,No,2,2,1,1,0,0,0,0,1,0,Finance  IT/Systems
department of engineering at the university of cambridge,Department Of Engineering At The University Of Cambridge,University,Yes,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
diocese of westminster academy trust,The Diocese Of Westminster Academy Trust,School / academy trust,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
e careers,E-Careers,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
east midlands education trust,East Midlands Education Trust,Charity / membership body,No,2,0,0,0,0,2,0,0,1,0,Research  IT/Systems
edwin group,The Edwin Group,Company,No,2,0,0,0,0,1,1,0,2,2,Research  
etio,Etio,Unclassified,No,2,0,0,0,0,0,0,0,0,2,Research  Finance  IT/Systems
evolution academy trust,Evolution Academy Trust,School / academy trust,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
forrester,Forrester,Unclassified,No,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
google deepmind,Google DeepMind,Unclassified,No,2,2,2,0,0,0,0,0,1,0,Finance  IT/Systems
idc,IDC,Unclassified,No,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
institute for jewish policy research,Institute For Jewish Policy Research,Research institute,Yes,2,2,0,0,2,0,0,0,1,2,Finance  IT/Systems
institute of ismaili studies,The Institute Of Ismaili Studies,Research institute,Yes,2,2,0,2,0,0,0,0,1,0,Finance  IT/Systems
john innes centre,John Innes Centre,Research institute,Yes,2,0,0,0,0,0,0,1,0,2,Research  Finance  IT/Systems
juniper education group,Juniper Education Group,Company,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
kenilworth multi academy trust,Kenilworth Multi Academy Trust,School / academy trust,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
king s foundation,The King's Foundation,Charity / membership body,No,2,1,1,0,0,1,0,0,2,2,IT/Systems
kirklees college,Kirklees College,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
lma liverpool,LMA - Liverpool,Unclassified,Yes,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
london early years foundation,London Early Years Foundation,Charity / membership body,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
lyfta education,Lyfta Education,Unclassified,No,2,1,1,0,0,0,1,0,2,2,Finance  
marsh academy,THE MARSH ACADEMY,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
mel research,MEL Research,Unclassified,Yes,2,2,1,1,0,0,0,0,1,2,Finance  IT/Systems
mills and reeve llp,Mills & Reeve LLP,Company,No,2,0,0,0,0,0,0,2,0,1,Research  Finance  IT/Systems
national college,The National College,Unclassified,No,2,1,0,1,0,1,0,0,2,2,IT/Systems
national institute of economic and social research,National Institute Of Economic And Social Research,Research institute,Yes,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
national institute of teaching and education,National Institute Of Teaching And Education,Research institute,Yes,2,1,1,0,0,0,1,0,2,0,Finance  
newbold college of higher education,Newbold College Of Higher Education,University college,Yes,2,1,1,0,0,1,0,0,2,2,IT/Systems
newbury college berkshire uk,Newbury College Berkshire UK,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
nihr,NIHR,Unclassified,No,2,2,2,0,0,0,0,0,1,1,Finance  IT/Systems
nous data insights,Nous Data Insights,Unclassified,No,2,0,0,0,0,0,0,0,0,2,Research  Finance  IT/Systems
oaklands college,Oaklands College,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
ocr,OCR,Unclassified,No,2,2,0,2,0,0,0,0,1,2,Finance  IT/Systems
qa research,Qa Research,Unclassified,Yes,2,2,2,0,0,0,0,0,1,1,Finance  IT/Systems
rand europe,RAND Europe,Unclassified,Yes,2,2,1,1,0,0,0,0,1,0,Finance  IT/Systems
resolution foundation,Resolution Foundation,Charity / membership body,No,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
rose bruford college,Rose Bruford College,Unclassified,Yes,2,2,1,1,0,0,0,0,1,2,Finance  IT/Systems
seo london,SEO London,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
skills network,The Skills Network,Charity / membership body,No,2,0,0,0,0,1,1,0,2,2,Research  
sparsholt college group,Sparsholt College Group,Company,No,2,1,0,1,0,1,0,0,2,2,IT/Systems
st john s college university of cambridge,St John's College - University of Cambridge,University,Yes,2,0,0,0,0,1,1,0,2,2,Research  
