institution,contacts_held,research,finance,it_systems,personas_held,what_is_missing,priority,institution_key
The Chartered Institute Of Export & International Trade,1,0,1,0,1,Research  IT/Systems,3 - low,chartered institute of export and international trade
CHILDWISE Research,1,1,0,0,1,Finance  IT/Systems,3 - low,childwise research
Community And Patient Preference Research,1,1,0,0,1,Finance  IT/Systems,3 - low,community and patient preference research
Coresight Research,1,1,0,0,1,Finance  IT/Systems,3 - low,coresight research
CoSector - University of London,1,1,0,0,1,Finance  IT/Systems,3 - low,cosector university of london
"Courtauld Institute of Art, U. of London",1,1,0,0,1,Finance  IT/Systems,3 - low,courtauld institute of art u of london
Coventry University / UHCW,1,1,0,0,1,Finance  IT/Systems,3 - low,coventry university uhcw
Discovery Research,1,1,0,0,1,Finance  IT/Systems,3 - low,discovery research
University Of Edinburgh Business School,1,1,0,0,1,Finance  IT/Systems,3 - low,edinburgh business school university
University Of Edinburgh Law School,1,1,0,0,1,Finance  IT/Systems,3 - low,edinburgh law school university
Edinburgh University Studentsâ€‹ Association,1,0,1,0,1,Research  IT/Systems,3 - low,edinburgh university students association
The European Futures Observatory,1,1,0,0,1,Finance  IT/Systems,3 - low,european futures observatory
The Faraday Institute For Science And Religion,1,1,0,0,1,Finance  IT/Systems,3 - low,faraday institute for science and religion
Flinders University,1,1,0,0,1,Finance  IT/Systems,3 - low,flinders university
Future Biomanufacturing Research Hub,1,1,0,0,1,Finance  IT/Systems,3 - low,future biomanufacturing research hub
Future Focus Research,1,1,0,0,1,Finance  IT/Systems,3 - low,future focus research
The Gallery Trust,1,0,1,0,1,Research  IT/Systems,3 - low,gallery trust
Global Entrepreneurship And Development Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,global entrepreneurship and development institute
Global University Systems,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,global university systems
The Griffin Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,griffin institute
Gusto Research,1,1,0,0,1,Finance  IT/Systems,3 - low,gusto research
Harbin Institute Of Technology Shenzhen,1,1,0,0,1,Finance  IT/Systems,3 - low,harbin institute of technology shenzhen
Hartpury University and Hartpury College,1,1,0,0,1,Finance  IT/Systems,3 - low,hartpury university and hartpury college
Hull York Medical School,1,1,0,0,1,Finance  IT/Systems,3 - low,hull york medical school
Humanities Research Institute University Of Buckingham,1,1,0,0,1,Finance  IT/Systems,3 - low,humanities research institute university of buckingham
Ibn Rushd Centre Of Excellence For Islamic Research,1,1,0,0,1,Finance  IT/Systems,3 - low,ibn rushd centre of excellence for islamic research
IFF Research,1,1,0,0,1,Finance  IT/Systems,3 - low,iff research
